maakunta;tkg;species;component;year;bm;ala
1;7;1;6;2017;0;NA
1;7;1;6;2018;0;NA
1;7;1;6;2019;0;NA
1;7;1;6;2020;0;NA
1;7;1;6;2021;0;NA
1;7;1;7;2015;0;NA
1;7;1;7;2016;0;0
1;7;1;7;2017;0;NA
1;7;1;7;2018;0;NA
1;7;1;7;2019;0;NA
1;7;1;7;2020;0;NA
1;7;1;7;2021;0;NA
1;7;2;1;2015;0;NA
1;7;2;1;2016;0;0
1;7;2;1;2017;0;NA
1;7;2;1;2018;0;NA
1;7;2;1;2019;0;NA
1;7;2;1;2020;0;NA
1;7;2;1;2021;0;NA
1;7;2;2;2015;0;NA
1;7;2;2;2016;0;0
1;7;2;2;2017;0;NA
1;7;2;2;2018;0;NA
